question,answer
Hi,Hello! How can I help you?
Hello,Hello! How can I help you?
Hey,Hello! How can I help you?
Good Morning,Hello! How can I help you?
Good Evening,Hello! How can I help you?
What courses are available?,We offer BCA BBA MCA MBA and BTech.
Which courses do you offer?,We offer BCA BBA MCA MBA and BTech.
Available courses?,We offer BCA BBA MCA MBA and BTech.
What programs are available?,We offer BCA BBA MCA MBA and BTech.
What is BCA fee?,BCA fee is 50000 per year.
Tell me BCA fee.,BCA fee is 50000 per year.
How much is BCA fee?,BCA fee is 50000 per year.
What are the charges for BCA?,BCA fee is 50000 per year.
BCA cost?,BCA fee is 50000 per year.
What is MBA fee?,MBA fee is 100000 per year.
Tell me MBA fee.,MBA fee is 100000 per year.
MBA charges?,MBA fee is 100000 per year.
How much does MBA cost?,MBA fee is 100000 per year.
Where is college located?,Our college is located in Gwalior.
College location?,Our college is located in Gwalior.
Where are you situated?,Our college is located in Gwalior.
Address of college?,Our college is located in Gwalior.
How can I apply?,You can apply online through our website.
Admission process?,You can apply online through our website.
How to take admission?,You can apply online through our website.
Application procedure?,You can apply online through our website.
What is eligibility for BCA?,12th pass students can apply for BCA.
BCA eligibility?,12th pass students can apply for BCA.
Who can apply for BCA?,12th pass students can apply for BCA.
What is eligibility for MBA?,Graduation is required for MBA admission.
MBA eligibility?,Graduation is required for MBA admission.
Who can apply for MBA?,Graduation is required for MBA admission.
Do you provide hostel?,Yes hostel facility is available.
Hostel available?,Yes hostel facility is available.
Is hostel provided?,Yes hostel facility is available.
Do you provide placement?,Yes placement assistance is available.
Placement support?,Yes placement assistance is available.
Campus placement?,Yes placement assistance is available.
What are college timings?,College timings are 9 AM to 5 PM.
Timing of college?,College timings are 9 AM to 5 PM.
Working hours?,College timings are 9 AM to 5 PM.
Thank you,You are welcome.
Thanks,You are welcome.
Thank you so much,You are welcome.
Bye,Goodbye and have a nice day.
See you,Goodbye and have a nice day.
Goodbye,Goodbye and have a nice day.
